model,split,train_macro_f1,validation_macro_f1,train_validation_gap,validation_route_count,validation_route_codes
Gradient Boosting,1,0.9526238688946034,0.8715147732001665,0.08110909569443692,4,A11|A12|A2|E02
Gradient Boosting,2,0.9492935869611472,0.7782348070872661,0.17105877987388107,4,A15|A26|E01|E02
Gradient Boosting,3,0.9625497387024026,0.852420982117328,0.1101287565850746,4,A11|A12|A2|E03
Gradient Boosting,4,0.9381644015630943,0.8808765588338282,0.057287842729266125,4,A11|A15|A3|A7
Gradient Boosting,5,0.9396324051055509,0.8150135501355013,0.12461885497004965,4,A18|A5|E02|E03
Gradient Boosting,6,0.9439621377353918,0.8898148148148147,0.05414732292057711,4,A11|A15|A2|B245
Gradient Boosting,7,0.9562550443906376,0.8080772049524279,0.14817783943820972,4,A12|A18|A5|A7
Gradient Boosting,8,0.9608161466179156,0.8327289384280642,0.12808720818985142,4,A15|A2|B-ROAD|E01
Gradient Boosting,9,0.9551624717368238,0.8297482837528604,0.12541418798396342,4,A12|A16|A5|B35
Gradient Boosting,10,0.9613043054743815,0.8498656898656898,0.11143861560869173,4,A12|A2|E01|E03
Random Forest,1,0.8958569743254813,0.849095607235142,0.04676136709033929,4,A11|A12|A2|E02
Random Forest,2,0.8932012758099713,0.7674242424242425,0.12577703338572888,4,A15|A26|E01|E02
Random Forest,3,0.9104473830876021,0.8378879736174386,0.07255940947016348,4,A11|A12|A2|E03
Random Forest,4,0.9140888979194465,0.8633852459939416,0.050703651925504856,4,A11|A15|A3|A7
Random Forest,5,0.8992732591356812,0.7652604476133887,0.1340128115222925,4,A18|A5|E02|E03
Random Forest,6,0.8948190067323641,0.844125846276384,0.05069316045598016,4,A11|A15|A2|B245
Random Forest,7,0.9086539118084859,0.7727717820479073,0.13588212976057856,4,A12|A18|A5|A7
Random Forest,8,0.9180602536828291,0.8405970149253732,0.07746323875745587,4,A15|A2|B-ROAD|E01
Random Forest,9,0.9026095554109572,0.8361654770128175,0.0664440783981397,4,A12|A16|A5|B35
Random Forest,10,0.9027080622172647,0.8409290967430502,0.061778965474214576,4,A12|A2|E01|E03
