Vehicle Name (Make & Model),Engine Capacity (CC),Max Torque (Nm),Fuel Efficiency (km/L),Fuel Type,Seating Capacity,Gradeability (%),Vehicle Category,BaseHireCharge,RentalPricePerKM,Fuel_Type_Enc
Suzuki Alto (800),796.0,60,22,Petrol,4,18,Economy,350,105,3
Suzuki Alto (K10),998.0,89,24.9,Petrol,5,20,Economy,380,100,3
Suzuki Wagon R (Hybrid),658.0,50,26,Hybrid,4,15,Economy,450,110,2
Suzuki Wagon R (Indian),1197.0,113,23.5,Petrol,5,22,Economy,420,115,3
Toyota Wigo (Gen 2),998.0,89,21,Petrol,5,19,Economy,400,120,3
Perodua Axia,998.0,91,23.2,Petrol,5,20,Economy,400,115,3
Maruti Suzuki Swift (2024),1197.0,112,24.8,Petrol,5,22,Economy,500,125,3
Tata Tiago,1199.0,113,20,Petrol,5,20,Economy,450,125,3
Hyundai Grand i10 Nios,1197.0,114,20.7,Petrol,5,20,Economy,480,125,3
Renault Kwid,999.0,91,22,Petrol,5,18,Economy,380,115,3
Suzuki Celerio (AGS),998.0,89,26.6,Petrol,5,20,Economy,420,110,3
Toyota Vitz (Safety Edition),996.0,92,21,Petrol,5,18,Economy,550,130,3
Toyota Passo (Hana),996.0,92,21,Petrol,5,18,Economy,550,130,3
Nissan Dayz (Kei),658.0,60,23,Petrol,4,15,Economy,450,120,3
Honda N-Box,658.0,65,22,Petrol,4,15,Economy,450,125,3
Suzuki Hustler,658.0,63,24,Petrol,4,18,Economy,480,120,3
Daihatsu Tanto,658.0,64,22,Petrol,4,15,Economy,450,125,3
Mitsubishi eK Wagon,658.0,60,23,Petrol,4,15,Economy,450,120,3
Suzuki Spacia (Custom),658.0,50,25,Hybrid,4,15,Economy,500,120,2
Maruti Suzuki Ignis,1197.0,113,20.9,Petrol,5,20,Economy,500,130,3
Tata Tiago NRG,1199.0,113,20.2,Petrol,5,21,Economy,500,130,3
Hyundai i20 (IVT),1197.0,115,20,Petrol,5,22,Economy,550,135,3
Honda Fit (Hybrid GP5),1496.0,160,26,Hybrid,5,22,Economy,650,140,2
Nissan Note (e-Power),1198.0,254,28,Hybrid,5,24,Economy,700,135,2
Toyota Aqua (Hybrid),1490.0,120,30,Hybrid,5,20,Economy,650,135,2
Suzuki Baleno (2024),1197.0,113,22.3,Petrol,5,21,Economy,550,130,3
Toyota Glanza,1197.0,113,22.3,Petrol,5,21,Economy,550,130,3
Maruti Suzuki S-Presso,998.0,89,24.8,Petrol,5,20,Economy,400,115,3
