profile_id,user_interests,interest_count,split,seed,split_basis
P01,Nature,1,training,42,deterministic_training_membership_v2
P02,History,1,training,42,deterministic_training_membership_v2
P03,Culture,1,training,42,deterministic_training_membership_v2
P04,Religion,1,training,42,deterministic_training_membership_v2
P05,Wildlife,1,training,42,deterministic_training_membership_v2
P06,Adventure,1,heldout,42,preserved_v1_frozen_heldout
P07,City,1,training,42,deterministic_training_membership_v2
P08,Nature|Wildlife,2,heldout,42,preserved_v1_frozen_heldout
P09,History|Culture,2,training,42,deterministic_training_membership_v2
P10,Culture|Religion,2,training,42,deterministic_training_membership_v2
P11,Nature|Adventure,2,training,42,deterministic_training_membership_v2
P12,History|City,2,training,42,deterministic_training_membership_v2
P13,Nature|Wildlife|Adventure,3,heldout,42,preserved_v1_frozen_heldout
P14,History|Culture|Religion,3,training,42,deterministic_training_membership_v2
P15,Nature|Culture|City,3,training,42,deterministic_training_membership_v2
P16,Religion|Wildlife,2,training,42,deterministic_training_membership_v2
P17,Adventure|City,2,training,42,deterministic_training_membership_v2
P18,History|Religion,2,training,42,deterministic_training_membership_v2
P19,Nature|Wildlife|City,3,training,42,deterministic_training_membership_v2
P20,Culture|Religion|Adventure,3,training,42,deterministic_training_membership_v2
