judgement_id,profile_id,user_interests,place_id,poi_name,district,verified_poi_tags,source_name,source_url,split,example_partition,weak_label,reviewer_a_label,reviewer_b_label,final_relevance_label,label_provenance,rule_version,adjudication_note
P01::wikidata-Q15717689,P01,nature,wikidata-Q15717689,Temple of the Sacred Tooth Relic,Kandy,culture|history|religion,Wikidata,https://www.wikidata.org/wiki/Q15717689,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q3119056,P01,nature,wikidata-Q3119056,"Royal Botanic Gardens, Peradeniya",Kandy,nature,Wikidata,https://www.wikidata.org/wiki/Q3119056,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q5966035,P01,nature,wikidata-Q5966035,Kandy Lake,Kandy,city|nature,Wikidata,https://www.wikidata.org/wiki/Q5966035,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q7876953,P01,nature,wikidata-Q7876953,Udawatta Kele Sanctuary,Kandy,nature|wildlife,Wikidata,https://www.wikidata.org/wiki/Q7876953,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::osm-node-3276843504,P01,nature,osm-node-3276843504,Ceylon Tea Museum,Kandy,culture|history,OpenStreetMap,https://www.openstreetmap.org/node/3276843504,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::osm-node-4157023134,P01,nature,osm-node-4157023134,Arthur's Seat,Kandy,city|nature,OpenStreetMap,https://www.openstreetmap.org/node/4157023134,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q20859170,P01,nature,wikidata-Q20859170,British Garrison Cemetery,Kandy,history,Wikidata,https://www.wikidata.org/wiki/Q20859170,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q3217592,P01,nature,wikidata-Q3217592,Lankatilaka Vihara,Kandy,culture|history|religion,Wikidata,https://www.wikidata.org/wiki/Q3217592,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q25637940,P01,nature,wikidata-Q25637940,Gadaladeniya Vihara,Kandy,culture|history|religion,Wikidata,https://www.wikidata.org/wiki/Q25637940,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q5370021,P01,nature,wikidata-Q5370021,Embekka Devalaya,Kandy,culture|history|religion,Wikidata,https://www.wikidata.org/wiki/Q5370021,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q28015701,P01,nature,wikidata-Q28015701,Alawathugoda Saman Devalaya,Kandy,culture|history|religion,Wikidata,https://www.wikidata.org/wiki/Q28015701,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::osm-node-11017570005,P01,nature,osm-node-11017570005,Giragama Walawwa,Kandy,culture|history,OpenStreetMap,https://www.openstreetmap.org/node/11017570005,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q3533580,P01,nature,wikidata-Q3533580,National Museum of Kandy,Kandy,culture|history,Wikidata,https://www.wikidata.org/wiki/Q3533580,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q20010653,P01,nature,wikidata-Q20010653,"National Railway Museum, Kadugannawa",Kandy,culture|history,Wikidata,https://www.wikidata.org/wiki/Q20010653,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::osm-node-11096423467,P01,nature,osm-node-11096423467,Dawson Tower,Kandy,city|history,OpenStreetMap,https://www.openstreetmap.org/node/11096423467,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::osm-node-11583843280,P01,nature,osm-node-11583843280,Jodu Ella Water Falls,Kandy,adventure|nature,OpenStreetMap,https://www.openstreetmap.org/node/11583843280,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::osm-node-5063761704,P01,nature,osm-node-5063761704,Huluganga Ella Waterfall,Kandy,adventure|nature,OpenStreetMap,https://www.openstreetmap.org/node/5063761704,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::osm-node-4440038982,P01,nature,osm-node-4440038982,Kadiyallana Falls,Kandy,adventure|nature,OpenStreetMap,https://www.openstreetmap.org/node/4440038982,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::osm-node-4566489017,P01,nature,osm-node-4566489017,Galboda Falls,Kandy,adventure|nature,OpenStreetMap,https://www.openstreetmap.org/node/4566489017,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::osm-node-5299675266,P01,nature,osm-node-5299675266,Ambuluwawa,Kandy,adventure|culture|nature,OpenStreetMap,https://www.openstreetmap.org/node/5299675266,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q16308678,P01,nature,wikidata-Q16308678,Matale Muthumariyamman Temple,Matale,culture|religion,Wikidata,https://www.wikidata.org/wiki/Q16308678,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q19700397,P01,nature,wikidata-Q19700397,Aluvihare Rock Temple,Matale,culture|history|religion,Wikidata,https://www.wikidata.org/wiki/Q19700397,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q25104534,P01,nature,wikidata-Q25104534,Sera Ella Falls,Matale,adventure|nature,Wikidata,https://www.wikidata.org/wiki/Q25104534,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q272153,P01,nature,wikidata-Q272153,Sigiriya,Matale,adventure|culture|history,Wikidata,https://www.wikidata.org/wiki/Q272153,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q45690,P01,nature,wikidata-Q45690,Dambulla Cave Temple,Matale,culture|history|religion,Wikidata,https://www.wikidata.org/wiki/Q45690,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q65949703,P01,nature,wikidata-Q65949703,Pidurangala Rock,Matale,adventure|nature|religion,Wikidata,https://www.wikidata.org/wiki/Q65949703,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q3335386,P01,nature,wikidata-Q3335386,Nalanda Gedige,Matale,culture|history|religion,Wikidata,https://www.wikidata.org/wiki/Q3335386,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q18915186,P01,nature,wikidata-Q18915186,Sembuwatta Lake,Matale,adventure|nature,Wikidata,https://www.wikidata.org/wiki/Q18915186,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::osm-way-191390663,P01,nature,osm-way-191390663,Sigiriya Museum,Matale,culture|history,OpenStreetMap,https://www.openstreetmap.org/way/191390663,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::osm-node-2714398529,P01,nature,osm-node-2714398529,NIFS Sam Popham's Arboretum,Matale,nature|wildlife,OpenStreetMap,https://www.openstreetmap.org/node/2714398529,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q1146327,P01,nature,wikidata-Q1146327,Pidurutalagala,Nuwara Eliya,adventure|nature,Wikidata,https://www.wikidata.org/wiki/Q1146327,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q19710937,P01,nature,wikidata-Q19710937,Dunsinane Falls,Nuwara Eliya,adventure|nature,Wikidata,https://www.wikidata.org/wiki/Q19710937,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q23585049,P01,nature,wikidata-Q23585049,One Tree Hill,Nuwara Eliya,adventure|nature,Wikidata,https://www.wikidata.org/wiki/Q23585049,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q37551,P01,nature,wikidata-Q37551,Devon Falls,Nuwara Eliya,nature,Wikidata,https://www.wikidata.org/wiki/Q37551,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q375975,P01,nature,wikidata-Q375975,Kirigalpoththa,Nuwara Eliya,adventure|nature|wildlife,Wikidata,https://www.wikidata.org/wiki/Q375975,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q37700,P01,nature,wikidata-Q37700,Elgin Falls,Nuwara Eliya,adventure|nature,Wikidata,https://www.wikidata.org/wiki/Q37700,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q38350,P01,nature,wikidata-Q38350,St. Clair's Falls,Nuwara Eliya,nature,Wikidata,https://www.wikidata.org/wiki/Q38350,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q5640438,P01,nature,wikidata-Q5640438,Hakgala,Nuwara Eliya,adventure|nature,Wikidata,https://www.wikidata.org/wiki/Q5640438,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q7796948,P01,nature,wikidata-Q7796948,Totapolakanda,Nuwara Eliya,adventure|nature|wildlife,Wikidata,https://www.wikidata.org/wiki/Q7796948,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P01::wikidata-Q97262496,P01,nature,wikidata-Q97262496,Kurundu Oya Waterfall,Nuwara Eliya,adventure|nature,Wikidata,https://www.wikidata.org/wiki/Q97262496,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q15717689,P02,history,wikidata-Q15717689,Temple of the Sacred Tooth Relic,Kandy,culture|history|religion,Wikidata,https://www.wikidata.org/wiki/Q15717689,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q3119056,P02,history,wikidata-Q3119056,"Royal Botanic Gardens, Peradeniya",Kandy,nature,Wikidata,https://www.wikidata.org/wiki/Q3119056,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q5966035,P02,history,wikidata-Q5966035,Kandy Lake,Kandy,city|nature,Wikidata,https://www.wikidata.org/wiki/Q5966035,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q7876953,P02,history,wikidata-Q7876953,Udawatta Kele Sanctuary,Kandy,nature|wildlife,Wikidata,https://www.wikidata.org/wiki/Q7876953,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::osm-node-3276843504,P02,history,osm-node-3276843504,Ceylon Tea Museum,Kandy,culture|history,OpenStreetMap,https://www.openstreetmap.org/node/3276843504,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::osm-node-4157023134,P02,history,osm-node-4157023134,Arthur's Seat,Kandy,city|nature,OpenStreetMap,https://www.openstreetmap.org/node/4157023134,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q20859170,P02,history,wikidata-Q20859170,British Garrison Cemetery,Kandy,history,Wikidata,https://www.wikidata.org/wiki/Q20859170,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q3217592,P02,history,wikidata-Q3217592,Lankatilaka Vihara,Kandy,culture|history|religion,Wikidata,https://www.wikidata.org/wiki/Q3217592,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q25637940,P02,history,wikidata-Q25637940,Gadaladeniya Vihara,Kandy,culture|history|religion,Wikidata,https://www.wikidata.org/wiki/Q25637940,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q5370021,P02,history,wikidata-Q5370021,Embekka Devalaya,Kandy,culture|history|religion,Wikidata,https://www.wikidata.org/wiki/Q5370021,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q28015701,P02,history,wikidata-Q28015701,Alawathugoda Saman Devalaya,Kandy,culture|history|religion,Wikidata,https://www.wikidata.org/wiki/Q28015701,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::osm-node-11017570005,P02,history,osm-node-11017570005,Giragama Walawwa,Kandy,culture|history,OpenStreetMap,https://www.openstreetmap.org/node/11017570005,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q3533580,P02,history,wikidata-Q3533580,National Museum of Kandy,Kandy,culture|history,Wikidata,https://www.wikidata.org/wiki/Q3533580,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q20010653,P02,history,wikidata-Q20010653,"National Railway Museum, Kadugannawa",Kandy,culture|history,Wikidata,https://www.wikidata.org/wiki/Q20010653,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::osm-node-11096423467,P02,history,osm-node-11096423467,Dawson Tower,Kandy,city|history,OpenStreetMap,https://www.openstreetmap.org/node/11096423467,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::osm-node-11583843280,P02,history,osm-node-11583843280,Jodu Ella Water Falls,Kandy,adventure|nature,OpenStreetMap,https://www.openstreetmap.org/node/11583843280,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::osm-node-5063761704,P02,history,osm-node-5063761704,Huluganga Ella Waterfall,Kandy,adventure|nature,OpenStreetMap,https://www.openstreetmap.org/node/5063761704,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::osm-node-4440038982,P02,history,osm-node-4440038982,Kadiyallana Falls,Kandy,adventure|nature,OpenStreetMap,https://www.openstreetmap.org/node/4440038982,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::osm-node-4566489017,P02,history,osm-node-4566489017,Galboda Falls,Kandy,adventure|nature,OpenStreetMap,https://www.openstreetmap.org/node/4566489017,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::osm-node-5299675266,P02,history,osm-node-5299675266,Ambuluwawa,Kandy,adventure|culture|nature,OpenStreetMap,https://www.openstreetmap.org/node/5299675266,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q16308678,P02,history,wikidata-Q16308678,Matale Muthumariyamman Temple,Matale,culture|religion,Wikidata,https://www.wikidata.org/wiki/Q16308678,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q19700397,P02,history,wikidata-Q19700397,Aluvihare Rock Temple,Matale,culture|history|religion,Wikidata,https://www.wikidata.org/wiki/Q19700397,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q25104534,P02,history,wikidata-Q25104534,Sera Ella Falls,Matale,adventure|nature,Wikidata,https://www.wikidata.org/wiki/Q25104534,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q272153,P02,history,wikidata-Q272153,Sigiriya,Matale,adventure|culture|history,Wikidata,https://www.wikidata.org/wiki/Q272153,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q45690,P02,history,wikidata-Q45690,Dambulla Cave Temple,Matale,culture|history|religion,Wikidata,https://www.wikidata.org/wiki/Q45690,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q65949703,P02,history,wikidata-Q65949703,Pidurangala Rock,Matale,adventure|nature|religion,Wikidata,https://www.wikidata.org/wiki/Q65949703,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q3335386,P02,history,wikidata-Q3335386,Nalanda Gedige,Matale,culture|history|religion,Wikidata,https://www.wikidata.org/wiki/Q3335386,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q18915186,P02,history,wikidata-Q18915186,Sembuwatta Lake,Matale,adventure|nature,Wikidata,https://www.wikidata.org/wiki/Q18915186,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::osm-way-191390663,P02,history,osm-way-191390663,Sigiriya Museum,Matale,culture|history,OpenStreetMap,https://www.openstreetmap.org/way/191390663,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::osm-node-2714398529,P02,history,osm-node-2714398529,NIFS Sam Popham's Arboretum,Matale,nature|wildlife,OpenStreetMap,https://www.openstreetmap.org/node/2714398529,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q1146327,P02,history,wikidata-Q1146327,Pidurutalagala,Nuwara Eliya,adventure|nature,Wikidata,https://www.wikidata.org/wiki/Q1146327,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q19710937,P02,history,wikidata-Q19710937,Dunsinane Falls,Nuwara Eliya,adventure|nature,Wikidata,https://www.wikidata.org/wiki/Q19710937,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q23585049,P02,history,wikidata-Q23585049,One Tree Hill,Nuwara Eliya,adventure|nature,Wikidata,https://www.wikidata.org/wiki/Q23585049,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q37551,P02,history,wikidata-Q37551,Devon Falls,Nuwara Eliya,nature,Wikidata,https://www.wikidata.org/wiki/Q37551,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q375975,P02,history,wikidata-Q375975,Kirigalpoththa,Nuwara Eliya,adventure|nature|wildlife,Wikidata,https://www.wikidata.org/wiki/Q375975,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q37700,P02,history,wikidata-Q37700,Elgin Falls,Nuwara Eliya,adventure|nature,Wikidata,https://www.wikidata.org/wiki/Q37700,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q38350,P02,history,wikidata-Q38350,St. Clair's Falls,Nuwara Eliya,nature,Wikidata,https://www.wikidata.org/wiki/Q38350,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q5640438,P02,history,wikidata-Q5640438,Hakgala,Nuwara Eliya,adventure|nature,Wikidata,https://www.wikidata.org/wiki/Q5640438,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q7796948,P02,history,wikidata-Q7796948,Totapolakanda,Nuwara Eliya,adventure|nature|wildlife,Wikidata,https://www.wikidata.org/wiki/Q7796948,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P02::wikidata-Q97262496,P02,history,wikidata-Q97262496,Kurundu Oya Waterfall,Nuwara Eliya,adventure|nature,Wikidata,https://www.wikidata.org/wiki/Q97262496,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P03::wikidata-Q15717689,P03,culture,wikidata-Q15717689,Temple of the Sacred Tooth Relic,Kandy,culture|history|religion,Wikidata,https://www.wikidata.org/wiki/Q15717689,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P03::wikidata-Q3119056,P03,culture,wikidata-Q3119056,"Royal Botanic Gardens, Peradeniya",Kandy,nature,Wikidata,https://www.wikidata.org/wiki/Q3119056,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P03::wikidata-Q5966035,P03,culture,wikidata-Q5966035,Kandy Lake,Kandy,city|nature,Wikidata,https://www.wikidata.org/wiki/Q5966035,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P03::wikidata-Q7876953,P03,culture,wikidata-Q7876953,Udawatta Kele Sanctuary,Kandy,nature|wildlife,Wikidata,https://www.wikidata.org/wiki/Q7876953,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P03::osm-node-3276843504,P03,culture,osm-node-3276843504,Ceylon Tea Museum,Kandy,culture|history,OpenStreetMap,https://www.openstreetmap.org/node/3276843504,training,rule_derived_weak_training_v2,2,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P03::osm-node-4157023134,P03,culture,osm-node-4157023134,Arthur's Seat,Kandy,city|nature,OpenStreetMap,https://www.openstreetmap.org/node/4157023134,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
P03::wikidata-Q20859170,P03,culture,wikidata-Q20859170,British Garrison Cemetery,Kandy,history,Wikidata,https://www.wikidata.org/wiki/Q20859170,training,rule_derived_weak_training_v2,0,,,,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,
