source_row_number,judgement_id,profile_id,user_interests,place_id,poi_name,district,latitude,longitude,verified_poi_tags,source_name,source_url,human_relevance_label,reviewer_notes,label_provenance,reviewer_scope,source_workbook_sha256
6,P08::wikidata-Q45690,P08,Nature|Wildlife,wikidata-Q45690,Dambulla Cave Temple,Matale,7.8565630000000004,80.648340300000001,History|Culture|Religion,Wikidata,https://www.wikidata.org/wiki/Q45690,0,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
7,P08::wikidata-Q37700,P08,Nature|Wildlife,wikidata-Q37700,Elgin Falls,Nuwara Eliya,6.8666666999999997,80.766666700000002,Nature|Adventure,Wikidata,https://www.wikidata.org/wiki/Q37700,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
8,P13::wikidata-Q97262496,P13,Nature|Wildlife|Adventure,wikidata-Q97262496,Kurundu Oya Waterfall,Nuwara Eliya,7.0785277999999998,80.849944399999998,Nature|Adventure,Wikidata,https://www.wikidata.org/wiki/Q97262496,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
9,P06::wikidata-Q3335386,P06,Adventure,wikidata-Q3335386,Nalanda Gedige,Matale,7.6697221999999998,80.645555599999994,History|Culture|Religion,Wikidata,https://www.wikidata.org/wiki/Q3335386,0,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
10,P13::wikidata-Q65949703,P13,Nature|Wildlife|Adventure,wikidata-Q65949703,Pidurangala Rock,Matale,7.9656168000000003,80.761851699999994,Nature|Adventure|Religion,Wikidata,https://www.wikidata.org/wiki/Q65949703,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
11,P13::wikidata-Q5640438,P13,Nature|Wildlife|Adventure,wikidata-Q5640438,Hakgala,Nuwara Eliya,6.9169444000000002,80.813888899999995,Nature|Adventure,Wikidata,https://www.wikidata.org/wiki/Q5640438,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
12,P08::wikidata-Q23585049,P08,Nature|Wildlife,wikidata-Q23585049,One Tree Hill,Nuwara Eliya,6.9577777999999997,80.762500000000003,Nature|Adventure,Wikidata,https://www.wikidata.org/wiki/Q23585049,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
13,P08::osm-way-191390663,P08,Nature|Wildlife,osm-way-191390663,Sigiriya Museum,Matale,7.9569799999999997,80.751800000000003,History|Culture,OpenStreetMap,https://www.openstreetmap.org/way/191390663,0,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
14,P13::wikidata-Q45690,P13,Nature|Wildlife|Adventure,wikidata-Q45690,Dambulla Cave Temple,Matale,7.8565630000000004,80.648340300000001,History|Culture|Religion,Wikidata,https://www.wikidata.org/wiki/Q45690,0,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
15,P06::wikidata-Q7796948,P06,Adventure,wikidata-Q7796948,Totapolakanda,Nuwara Eliya,6.8330555999999998,80.819722200000001,Nature|Wildlife|Adventure,Wikidata,https://www.wikidata.org/wiki/Q7796948,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
16,P13::wikidata-Q272153,P13,Nature|Wildlife|Adventure,wikidata-Q272153,Sigiriya,Matale,7.9569444000000003,80.759722199999999,History|Culture|Adventure,Wikidata,https://www.wikidata.org/wiki/Q272153,1,Adventure location but lacks direct nature tags (primary focus is cultural/historical).,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
17,P06::wikidata-Q37700,P06,Adventure,wikidata-Q37700,Elgin Falls,Nuwara Eliya,6.8666666999999997,80.766666700000002,Nature|Adventure,Wikidata,https://www.wikidata.org/wiki/Q37700,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
18,P13::wikidata-Q37551,P13,Nature|Wildlife|Adventure,wikidata-Q37551,Devon Falls,Nuwara Eliya,6.9516666999999996,80.629722200000003,Nature,Wikidata,https://www.wikidata.org/wiki/Q37551,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
19,P06::wikidata-Q23585049,P06,Adventure,wikidata-Q23585049,One Tree Hill,Nuwara Eliya,6.9577777999999997,80.762500000000003,Nature|Adventure,Wikidata,https://www.wikidata.org/wiki/Q23585049,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
20,P08::wikidata-Q18915186,P08,Nature|Wildlife,wikidata-Q18915186,Sembuwatta Lake,Matale,7.4333333000000001,80.716666700000005,Nature|Adventure,Wikidata,https://www.wikidata.org/wiki/Q18915186,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
21,P13::wikidata-Q38350,P13,Nature|Wildlife|Adventure,wikidata-Q38350,St. Clair's Falls,Nuwara Eliya,6.9511778,80.647877800000003,Nature,Wikidata,https://www.wikidata.org/wiki/Q38350,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
22,P08::wikidata-Q37551,P08,Nature|Wildlife,wikidata-Q37551,Devon Falls,Nuwara Eliya,6.9516666999999996,80.629722200000003,Nature,Wikidata,https://www.wikidata.org/wiki/Q37551,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
23,P08::wikidata-Q375975,P08,Nature|Wildlife,wikidata-Q375975,Kirigalpoththa,Nuwara Eliya,6.7991666999999998,80.766666700000002,Nature|Wildlife|Adventure,Wikidata,https://www.wikidata.org/wiki/Q375975,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
24,P06::wikidata-Q19710937,P06,Adventure,wikidata-Q19710937,Dunsinane Falls,Nuwara Eliya,7.0117222000000003,80.705666699999995,Nature|Adventure,Wikidata,https://www.wikidata.org/wiki/Q19710937,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
25,P13::wikidata-Q25104534,P13,Nature|Wildlife|Adventure,wikidata-Q25104534,Sera Ella Falls,Matale,7.5883039999999999,80.754940500000004,Nature|Adventure,Wikidata,https://www.wikidata.org/wiki/Q25104534,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
26,P06::osm-node-2714398529,P06,Adventure,osm-node-2714398529,NIFS Sam Popham's Arboretum,Matale,7.8608099999999999,80.67586,Nature|Wildlife,OpenStreetMap,https://www.openstreetmap.org/node/2714398529,1,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
27,P13::wikidata-Q7796948,P13,Nature|Wildlife|Adventure,wikidata-Q7796948,Totapolakanda,Nuwara Eliya,6.8330555999999998,80.819722200000001,Nature|Wildlife|Adventure,Wikidata,https://www.wikidata.org/wiki/Q7796948,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
28,P13::wikidata-Q23585049,P13,Nature|Wildlife|Adventure,wikidata-Q23585049,One Tree Hill,Nuwara Eliya,6.9577777999999997,80.762500000000003,Nature|Adventure,Wikidata,https://www.wikidata.org/wiki/Q23585049,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
29,P06::wikidata-Q5640438,P06,Adventure,wikidata-Q5640438,Hakgala,Nuwara Eliya,6.9169444000000002,80.813888899999995,Nature|Adventure,Wikidata,https://www.wikidata.org/wiki/Q5640438,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
30,P06::wikidata-Q25104534,P06,Adventure,wikidata-Q25104534,Sera Ella Falls,Matale,7.5883039999999999,80.754940500000004,Nature|Adventure,Wikidata,https://www.wikidata.org/wiki/Q25104534,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
31,P06::wikidata-Q37551,P06,Adventure,wikidata-Q37551,Devon Falls,Nuwara Eliya,6.9516666999999996,80.629722200000003,Nature,Wikidata,https://www.wikidata.org/wiki/Q37551,1,Nature site/viewpoint with limited explicit physical activity.,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
32,P08::wikidata-Q65949703,P08,Nature|Wildlife,wikidata-Q65949703,Pidurangala Rock,Matale,7.9656168000000003,80.761851699999994,Nature|Adventure|Religion,Wikidata,https://www.wikidata.org/wiki/Q65949703,1,Mixed location; nature elements alongside cultural/religious significance.,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
33,P08::wikidata-Q97262496,P08,Nature|Wildlife,wikidata-Q97262496,Kurundu Oya Waterfall,Nuwara Eliya,7.0785277999999998,80.849944399999998,Nature|Adventure,Wikidata,https://www.wikidata.org/wiki/Q97262496,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
34,P06::wikidata-Q65949703,P06,Adventure,wikidata-Q65949703,Pidurangala Rock,Matale,7.9656168000000003,80.761851699999994,Nature|Adventure|Religion,Wikidata,https://www.wikidata.org/wiki/Q65949703,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
35,P06::wikidata-Q272153,P06,Adventure,wikidata-Q272153,Sigiriya,Matale,7.9569444000000003,80.759722199999999,History|Culture|Adventure,Wikidata,https://www.wikidata.org/wiki/Q272153,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
36,P13::wikidata-Q16308678,P13,Nature|Wildlife|Adventure,wikidata-Q16308678,Matale Muthumariyamman Temple,Matale,7.4772999999999996,80.623900000000006,Culture|Religion,Wikidata,https://www.wikidata.org/wiki/Q16308678,0,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
37,P13::wikidata-Q37700,P13,Nature|Wildlife|Adventure,wikidata-Q37700,Elgin Falls,Nuwara Eliya,6.8666666999999997,80.766666700000002,Nature|Adventure,Wikidata,https://www.wikidata.org/wiki/Q37700,2,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
38,P08::wikidata-Q3335386,P08,Nature|Wildlife,wikidata-Q3335386,Nalanda Gedige,Matale,7.6697221999999998,80.645555599999994,History|Culture|Religion,Wikidata,https://www.wikidata.org/wiki/Q3335386,0,,single_human_reviewer,reviewer_a_only_no_agreement_or_adjudication,2bc4408f840087a152fecefb2a933ab1746177b72b599dc8f8c90a8668379a4a
