judgement_id,profile_id,user_interests,place_id,poi_name,source_name,source_url,relevance_label,reviewer_notes
P01::wikidata-Q15717689,P01,Nature,wikidata-Q15717689,Temple of the Sacred Tooth Relic,Wikidata,https://www.wikidata.org/wiki/Q15717689,,
P01::wikidata-Q3119056,P01,Nature,wikidata-Q3119056,"Royal Botanic Gardens, Peradeniya",Wikidata,https://www.wikidata.org/wiki/Q3119056,,
P01::wikidata-Q5966035,P01,Nature,wikidata-Q5966035,Kandy Lake,Wikidata,https://www.wikidata.org/wiki/Q5966035,,
P01::wikidata-Q7876953,P01,Nature,wikidata-Q7876953,Udawatta Kele Sanctuary,Wikidata,https://www.wikidata.org/wiki/Q7876953,,
P01::osm-node-3276843504,P01,Nature,osm-node-3276843504,Ceylon Tea Museum,OpenStreetMap,https://www.openstreetmap.org/node/3276843504,,
P01::osm-node-4157023134,P01,Nature,osm-node-4157023134,Arthur's Seat,OpenStreetMap,https://www.openstreetmap.org/node/4157023134,,
P01::wikidata-Q20859170,P01,Nature,wikidata-Q20859170,British Garrison Cemetery,Wikidata,https://www.wikidata.org/wiki/Q20859170,,
P01::wikidata-Q3217592,P01,Nature,wikidata-Q3217592,Lankatilaka Vihara,Wikidata,https://www.wikidata.org/wiki/Q3217592,,
P01::wikidata-Q25637940,P01,Nature,wikidata-Q25637940,Gadaladeniya Vihara,Wikidata,https://www.wikidata.org/wiki/Q25637940,,
P01::wikidata-Q5370021,P01,Nature,wikidata-Q5370021,Embekka Devalaya,Wikidata,https://www.wikidata.org/wiki/Q5370021,,
P01::wikidata-Q28015701,P01,Nature,wikidata-Q28015701,Alawathugoda Saman Devalaya,Wikidata,https://www.wikidata.org/wiki/Q28015701,,
P01::osm-node-11017570005,P01,Nature,osm-node-11017570005,Giragama Walawwa,OpenStreetMap,https://www.openstreetmap.org/node/11017570005,,
P01::wikidata-Q3533580,P01,Nature,wikidata-Q3533580,National Museum of Kandy,Wikidata,https://www.wikidata.org/wiki/Q3533580,,
P01::wikidata-Q20010653,P01,Nature,wikidata-Q20010653,"National Railway Museum, Kadugannawa",Wikidata,https://www.wikidata.org/wiki/Q20010653,,
P01::osm-node-11096423467,P01,Nature,osm-node-11096423467,Dawson Tower,OpenStreetMap,https://www.openstreetmap.org/node/11096423467,,
P01::osm-node-11583843280,P01,Nature,osm-node-11583843280,Jodu Ella Water Falls,OpenStreetMap,https://www.openstreetmap.org/node/11583843280,,
P01::osm-node-5063761704,P01,Nature,osm-node-5063761704,Huluganga Ella Waterfall,OpenStreetMap,https://www.openstreetmap.org/node/5063761704,,
P01::osm-node-4440038982,P01,Nature,osm-node-4440038982,Kadiyallana Falls,OpenStreetMap,https://www.openstreetmap.org/node/4440038982,,
P01::osm-node-4566489017,P01,Nature,osm-node-4566489017,Galboda Falls,OpenStreetMap,https://www.openstreetmap.org/node/4566489017,,
P01::osm-node-5299675266,P01,Nature,osm-node-5299675266,Ambuluwawa,OpenStreetMap,https://www.openstreetmap.org/node/5299675266,,
P02::wikidata-Q15717689,P02,History,wikidata-Q15717689,Temple of the Sacred Tooth Relic,Wikidata,https://www.wikidata.org/wiki/Q15717689,,
P02::wikidata-Q3119056,P02,History,wikidata-Q3119056,"Royal Botanic Gardens, Peradeniya",Wikidata,https://www.wikidata.org/wiki/Q3119056,,
P02::wikidata-Q5966035,P02,History,wikidata-Q5966035,Kandy Lake,Wikidata,https://www.wikidata.org/wiki/Q5966035,,
P02::wikidata-Q7876953,P02,History,wikidata-Q7876953,Udawatta Kele Sanctuary,Wikidata,https://www.wikidata.org/wiki/Q7876953,,
P02::osm-node-3276843504,P02,History,osm-node-3276843504,Ceylon Tea Museum,OpenStreetMap,https://www.openstreetmap.org/node/3276843504,,
P02::osm-node-4157023134,P02,History,osm-node-4157023134,Arthur's Seat,OpenStreetMap,https://www.openstreetmap.org/node/4157023134,,
P02::wikidata-Q20859170,P02,History,wikidata-Q20859170,British Garrison Cemetery,Wikidata,https://www.wikidata.org/wiki/Q20859170,,
P02::wikidata-Q3217592,P02,History,wikidata-Q3217592,Lankatilaka Vihara,Wikidata,https://www.wikidata.org/wiki/Q3217592,,
P02::wikidata-Q25637940,P02,History,wikidata-Q25637940,Gadaladeniya Vihara,Wikidata,https://www.wikidata.org/wiki/Q25637940,,
P02::wikidata-Q5370021,P02,History,wikidata-Q5370021,Embekka Devalaya,Wikidata,https://www.wikidata.org/wiki/Q5370021,,
P02::wikidata-Q28015701,P02,History,wikidata-Q28015701,Alawathugoda Saman Devalaya,Wikidata,https://www.wikidata.org/wiki/Q28015701,,
P02::osm-node-11017570005,P02,History,osm-node-11017570005,Giragama Walawwa,OpenStreetMap,https://www.openstreetmap.org/node/11017570005,,
P02::wikidata-Q3533580,P02,History,wikidata-Q3533580,National Museum of Kandy,Wikidata,https://www.wikidata.org/wiki/Q3533580,,
P02::wikidata-Q20010653,P02,History,wikidata-Q20010653,"National Railway Museum, Kadugannawa",Wikidata,https://www.wikidata.org/wiki/Q20010653,,
P02::osm-node-11096423467,P02,History,osm-node-11096423467,Dawson Tower,OpenStreetMap,https://www.openstreetmap.org/node/11096423467,,
P02::osm-node-11583843280,P02,History,osm-node-11583843280,Jodu Ella Water Falls,OpenStreetMap,https://www.openstreetmap.org/node/11583843280,,
P02::osm-node-5063761704,P02,History,osm-node-5063761704,Huluganga Ella Waterfall,OpenStreetMap,https://www.openstreetmap.org/node/5063761704,,
P02::osm-node-4440038982,P02,History,osm-node-4440038982,Kadiyallana Falls,OpenStreetMap,https://www.openstreetmap.org/node/4440038982,,
P02::osm-node-4566489017,P02,History,osm-node-4566489017,Galboda Falls,OpenStreetMap,https://www.openstreetmap.org/node/4566489017,,
P02::osm-node-5299675266,P02,History,osm-node-5299675266,Ambuluwawa,OpenStreetMap,https://www.openstreetmap.org/node/5299675266,,
P03::wikidata-Q15717689,P03,Culture,wikidata-Q15717689,Temple of the Sacred Tooth Relic,Wikidata,https://www.wikidata.org/wiki/Q15717689,,
P03::wikidata-Q3119056,P03,Culture,wikidata-Q3119056,"Royal Botanic Gardens, Peradeniya",Wikidata,https://www.wikidata.org/wiki/Q3119056,,
P03::wikidata-Q5966035,P03,Culture,wikidata-Q5966035,Kandy Lake,Wikidata,https://www.wikidata.org/wiki/Q5966035,,
P03::wikidata-Q7876953,P03,Culture,wikidata-Q7876953,Udawatta Kele Sanctuary,Wikidata,https://www.wikidata.org/wiki/Q7876953,,
P03::osm-node-3276843504,P03,Culture,osm-node-3276843504,Ceylon Tea Museum,OpenStreetMap,https://www.openstreetmap.org/node/3276843504,,
P03::osm-node-4157023134,P03,Culture,osm-node-4157023134,Arthur's Seat,OpenStreetMap,https://www.openstreetmap.org/node/4157023134,,
P03::wikidata-Q20859170,P03,Culture,wikidata-Q20859170,British Garrison Cemetery,Wikidata,https://www.wikidata.org/wiki/Q20859170,,
P03::wikidata-Q3217592,P03,Culture,wikidata-Q3217592,Lankatilaka Vihara,Wikidata,https://www.wikidata.org/wiki/Q3217592,,
P03::wikidata-Q25637940,P03,Culture,wikidata-Q25637940,Gadaladeniya Vihara,Wikidata,https://www.wikidata.org/wiki/Q25637940,,
P03::wikidata-Q5370021,P03,Culture,wikidata-Q5370021,Embekka Devalaya,Wikidata,https://www.wikidata.org/wiki/Q5370021,,
P03::wikidata-Q28015701,P03,Culture,wikidata-Q28015701,Alawathugoda Saman Devalaya,Wikidata,https://www.wikidata.org/wiki/Q28015701,,
P03::osm-node-11017570005,P03,Culture,osm-node-11017570005,Giragama Walawwa,OpenStreetMap,https://www.openstreetmap.org/node/11017570005,,
P03::wikidata-Q3533580,P03,Culture,wikidata-Q3533580,National Museum of Kandy,Wikidata,https://www.wikidata.org/wiki/Q3533580,,
P03::wikidata-Q20010653,P03,Culture,wikidata-Q20010653,"National Railway Museum, Kadugannawa",Wikidata,https://www.wikidata.org/wiki/Q20010653,,
P03::osm-node-11096423467,P03,Culture,osm-node-11096423467,Dawson Tower,OpenStreetMap,https://www.openstreetmap.org/node/11096423467,,
P03::osm-node-11583843280,P03,Culture,osm-node-11583843280,Jodu Ella Water Falls,OpenStreetMap,https://www.openstreetmap.org/node/11583843280,,
P03::osm-node-5063761704,P03,Culture,osm-node-5063761704,Huluganga Ella Waterfall,OpenStreetMap,https://www.openstreetmap.org/node/5063761704,,
P03::osm-node-4440038982,P03,Culture,osm-node-4440038982,Kadiyallana Falls,OpenStreetMap,https://www.openstreetmap.org/node/4440038982,,
