judgement_id,profile_id,user_interests,place_id,poi_name,district,verified_poi_tags,overlap_set,interest_coverage,weak_label,label_provenance,rule_version,source_name,source_url
P01::wikidata-Q15717689,P01,nature,wikidata-Q15717689,Temple of the Sacred Tooth Relic,Kandy,culture|history|religion,,0.000000,0,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,Wikidata,https://www.wikidata.org/wiki/Q15717689
P01::wikidata-Q3119056,P01,nature,wikidata-Q3119056,"Royal Botanic Gardens, Peradeniya",Kandy,nature,nature,1.000000,2,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,Wikidata,https://www.wikidata.org/wiki/Q3119056
P01::wikidata-Q5966035,P01,nature,wikidata-Q5966035,Kandy Lake,Kandy,city|nature,nature,1.000000,2,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,Wikidata,https://www.wikidata.org/wiki/Q5966035
P01::wikidata-Q7876953,P01,nature,wikidata-Q7876953,Udawatta Kele Sanctuary,Kandy,nature|wildlife,nature,1.000000,2,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,Wikidata,https://www.wikidata.org/wiki/Q7876953
P01::osm-node-3276843504,P01,nature,osm-node-3276843504,Ceylon Tea Museum,Kandy,culture|history,,0.000000,0,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,OpenStreetMap,https://www.openstreetmap.org/node/3276843504
P01::osm-node-4157023134,P01,nature,osm-node-4157023134,Arthur's Seat,Kandy,city|nature,nature,1.000000,2,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,OpenStreetMap,https://www.openstreetmap.org/node/4157023134
P01::wikidata-Q20859170,P01,nature,wikidata-Q20859170,British Garrison Cemetery,Kandy,history,,0.000000,0,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,Wikidata,https://www.wikidata.org/wiki/Q20859170
P01::wikidata-Q3217592,P01,nature,wikidata-Q3217592,Lankatilaka Vihara,Kandy,culture|history|religion,,0.000000,0,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,Wikidata,https://www.wikidata.org/wiki/Q3217592
P01::wikidata-Q25637940,P01,nature,wikidata-Q25637940,Gadaladeniya Vihara,Kandy,culture|history|religion,,0.000000,0,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,Wikidata,https://www.wikidata.org/wiki/Q25637940
P01::wikidata-Q5370021,P01,nature,wikidata-Q5370021,Embekka Devalaya,Kandy,culture|history|religion,,0.000000,0,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,Wikidata,https://www.wikidata.org/wiki/Q5370021
P01::wikidata-Q28015701,P01,nature,wikidata-Q28015701,Alawathugoda Saman Devalaya,Kandy,culture|history|religion,,0.000000,0,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,Wikidata,https://www.wikidata.org/wiki/Q28015701
P01::osm-node-11017570005,P01,nature,osm-node-11017570005,Giragama Walawwa,Kandy,culture|history,,0.000000,0,rule_derived_weak_supervision_not_human,verified_tag_interest_coverage_v1,OpenStreetMap,https://www.openstreetmap.org/node/11017570005
