candidate_id,canonical_name,latitude,longitude,categories,district,source_name,source_record_id,source_url,source_license,collected_at,raw_source_tags,verification_status,duplicate_cluster_id,duplicate_candidate_ids
osm-node-11017570005,Giragama Walawwa,7.2942985,80.6359662,tourism=attraction,Kandy,OpenStreetMap,node/11017570005,https://www.openstreetmap.org/node/11017570005,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Giragama Walawwa"",""tourism"":""attraction""}",candidate_unverified,,
wikidata-Q20010653,"National Railway Museum, Kadugannawa",7.25761,80.5209,railway museum,Kandy,Wikidata,Q20010653,https://www.wikidata.org/wiki/Q20010653,CC0 1.0,2026-08-19T16:37:02+00:00,"{""heritage_designation_ids"":[],""heritage_designation_labels"":[],""instance_ids"":[""Q18704634""],""instance_labels"":[""railway museum""],""located_in_district_id"":""Q723002"",""wikipedia_url"":""https://en.wikipedia.org/wiki/National_Railway_Museum,_Kadugannawa""}",candidate_unverified,dup-cd565498863f,osm-node-3412370558
osm-node-11019901706,Puss-wel (Giant liana),7.301254,80.6432612,tourism=attraction,Kandy,OpenStreetMap,node/11019901706,https://www.openstreetmap.org/node/11019901706,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Puss-wel (Giant liana)"",""tourism"":""attraction""}",candidate_unverified,,
wikidata-Q25637940,Gadaladeniya Vihara,7.2573056,80.5560833,Buddhist temple,Kandy,Wikidata,Q25637940,https://www.wikidata.org/wiki/Q25637940,CC0 1.0,2026-08-19T16:37:02+00:00,"{""heritage_designation_ids"":[],""heritage_designation_labels"":[],""instance_ids"":[""Q5393308""],""instance_labels"":[""Buddhist temple""],""located_in_district_id"":""Q723002"",""wikipedia_url"":""https://en.wikipedia.org/wiki/Gadaladeniya_Vihara""}",candidate_unverified,,
osm-node-11021340105,Viewpoint of Asgiri Maha Vihara Pirivena,7.2956008,80.6337295,tourism=viewpoint,Kandy,OpenStreetMap,node/11021340105,https://www.openstreetmap.org/node/11021340105,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Viewpoint of Asgiri Maha Vihara Pirivena"",""tourism"":""viewpoint""}",candidate_unverified,,
wikidata-Q28015701,Alawathugoda Saman Devalaya,7.4055833,80.6073889,temple,Kandy,Wikidata,Q28015701,https://www.wikidata.org/wiki/Q28015701,CC0 1.0,2026-08-19T16:37:02+00:00,"{""heritage_designation_ids"":[],""heritage_designation_labels"":[],""instance_ids"":[""Q44539""],""instance_labels"":[""temple""],""located_in_district_id"":""Q723002"",""wikipedia_url"":""https://en.wikipedia.org/wiki/Alawathugoda_Saman_Devalaya""}",candidate_unverified,,
osm-node-11096423467,captain Dowsan tower,7.2567324,80.5179264,historic=monument,Kandy,OpenStreetMap,node/11096423467,https://www.openstreetmap.org/node/11096423467,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""historic"":""monument"",""name"":""captain Dowsan tower""}",candidate_unverified,,
wikidata-Q3217592,Lankatilaka Vihara,7.23388,80.5647,Buddhist temple,Kandy,Wikidata,Q3217592,https://www.wikidata.org/wiki/Q3217592,CC0 1.0,2026-08-19T16:37:02+00:00,"{""heritage_designation_ids"":[],""heritage_designation_labels"":[],""instance_ids"":[""Q5393308""],""instance_labels"":[""Buddhist temple""],""located_in_district_id"":""Q723002"",""wikipedia_url"":""https://en.wikipedia.org/wiki/Lankatilaka_Vihara""}",candidate_unverified,,
osm-node-11583843280,Jodu Ella Water Falls,7.4004888,80.775762,tourism=attraction,Kandy,OpenStreetMap,node/11583843280,https://www.openstreetmap.org/node/11583843280,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Jodu Ella Water Falls"",""tourism"":""attraction""}",candidate_unverified,,
wikidata-Q5370021,Embekka Devalaya,7.2179167,80.5677222,temple,Kandy,Wikidata,Q5370021,https://www.wikidata.org/wiki/Q5370021,CC0 1.0,2026-08-19T16:37:02+00:00,"{""heritage_designation_ids"":[],""heritage_designation_labels"":[],""instance_ids"":[""Q44539""],""instance_labels"":[""temple""],""located_in_district_id"":""Q723002"",""wikipedia_url"":""https://en.wikipedia.org/wiki/Embekka_Devalaya""}",candidate_unverified,,
osm-node-12061831069,plantation de thé escalier,7.1118844,80.6365621,tourism=viewpoint,Kandy,OpenStreetMap,node/12061831069,https://www.openstreetmap.org/node/12061831069,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""plantation de thé escalier"",""tourism"":""viewpoint""}",candidate_unverified,,
osm-node-12478688399,Buddha,7.3043239,80.6431704,tourism=attraction,Kandy,OpenStreetMap,node/12478688399,https://www.openstreetmap.org/node/12478688399,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Buddha"",""tourism"":""attraction""}",candidate_unverified,,
osm-node-1290267083,Knuckles,7.4002482,80.8107259,natural=peak,Kandy,OpenStreetMap,node/1290267083,https://www.openstreetmap.org/node/1290267083,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Knuckles"",""natural"":""peak"",""wikidata"":""Q27441937""}",candidate_unverified,,
osm-node-1880380897,Daha Ata Wanguwa,7.3565682,80.9149753,tourism=viewpoint,Kandy,OpenStreetMap,node/1880380897,https://www.openstreetmap.org/node/1880380897,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Daha Ata Wanguwa"",""tourism"":""viewpoint""}",candidate_unverified,,
osm-node-2907674351,"Highway Museum, Kiribathkumbura.",7.2672828,80.5725878,tourism=museum,Kandy,OpenStreetMap,node/2907674351,https://www.openstreetmap.org/node/2907674351,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Highway Museum, Kiribathkumbura."",""operator"":""Dept. of Railway"",""tourism"":""museum""}",candidate_unverified,,
osm-node-3276843504,Ceylon Tea Museum,7.2686376,80.6326564,tourism=museum,Kandy,OpenStreetMap,node/3276843504,https://www.openstreetmap.org/node/3276843504,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Ceylon Tea Museum"",""tourism"":""museum"",""website"":""https://www.ceylonteamuseum.com/"",""wikidata"":""Q30588328"",""wikipedia"":""en:Ceylon Tea Museum""}",candidate_unverified,,
osm-node-3412370558,National Railway Musuem,7.2576216,80.5208054,tourism=museum,Kandy,OpenStreetMap,node/3412370558,https://www.openstreetmap.org/node/3412370558,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Railway Museum, Kadugannawa."",""name:en"":""National Railway Musuem"",""tourism"":""museum""}",candidate_unverified,dup-cd565498863f,wikidata-Q20010653
osm-node-3412693560,Kandy Raja Pihilla,7.2828911,80.6487597,historic=archaeological_site,Kandy,OpenStreetMap,node/3412693560,https://www.openstreetmap.org/node/3412693560,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""historic"":""archaeological_site"",""name"":""Kandy Raja Pihilla""}",candidate_unverified,,
osm-node-3412729977,Kengalla Ambalama,7.291799,80.721326,tourism=attraction|amenity=shelter,Kandy,OpenStreetMap,node/3412729977,https://www.openstreetmap.org/node/3412729977,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""amenity"":""shelter"",""name"":""Kengalla Ambalama"",""tourism"":""attraction""}",candidate_unverified,,
osm-node-4089531749,Gem & Mineral Museum,7.2740748,80.6106024,tourism=museum,Kandy,OpenStreetMap,node/4089531749,https://www.openstreetmap.org/node/4089531749,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Gem & Mineral Museum"",""tourism"":""museum""}",candidate_unverified,,
osm-node-4157023134,Arthur’s Seat,7.2890117,80.6399363,tourism=viewpoint,Kandy,OpenStreetMap,node/4157023134,https://www.openstreetmap.org/node/4157023134,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Arthur’s Seat"",""tourism"":""viewpoint""}",candidate_unverified,,
osm-node-4358591689,Victoria Dam Observation Center,7.2419686,80.7880494,tourism=attraction,Kandy,OpenStreetMap,node/4358591689,https://www.openstreetmap.org/node/4358591689,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Victoria Dam Observation Center"",""name:en"":""Victoria Dam Observation Center"",""tourism"":""attraction""}",candidate_unverified,,
osm-node-4440038982,Kadiyallana Falls,7.0119444,80.5869842,tourism=attraction,Kandy,OpenStreetMap,node/4440038982,https://www.openstreetmap.org/node/4440038982,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Kadiyallana Falls"",""tourism"":""attraction""}",candidate_unverified,,
osm-node-4566489017,Galboda Falls,6.9754081,80.5428804,tourism=attraction,Kandy,OpenStreetMap,node/4566489017,https://www.openstreetmap.org/node/4566489017,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Galboda Falls"",""tourism"":""attraction""}",candidate_unverified,,
osm-node-4837998351,Plant Seed Museum,7.2687351,80.5974961,tourism=museum,Kandy,OpenStreetMap,node/4837998351,https://www.openstreetmap.org/node/4837998351,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Plant Seed Museum"",""tourism"":""museum""}",candidate_unverified,,
osm-node-4837998356,Thwaites monument,7.2721848,80.5966635,historic=monument,Kandy,OpenStreetMap,node/4837998356,https://www.openstreetmap.org/node/4837998356,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""historic"":""monument"",""name"":""Thwaites monument""}",candidate_unverified,,
osm-node-4840460417,Mini World's End,7.3356897,80.8674161,tourism=viewpoint,Kandy,OpenStreetMap,node/4840460417,https://www.openstreetmap.org/node/4840460417,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Mini World's End"",""tourism"":""viewpoint""}",candidate_unverified,,
osm-node-4949041329,Holuwagoda,7.2211344,80.7101792,tourism=attraction,Kandy,OpenStreetMap,node/4949041329,https://www.openstreetmap.org/node/4949041329,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Holuwagoda"",""tourism"":""attraction""}",candidate_unverified,,
osm-node-5063761704,Huluganga Ella Waterfall,7.4010665,80.7421521,tourism=attraction,Kandy,OpenStreetMap,node/5063761704,https://www.openstreetmap.org/node/5063761704,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Huluganga Ella Waterfall"",""tourism"":""attraction""}",candidate_unverified,,
osm-node-5063794060,bathing place,7.4011222,80.7720165,tourism=attraction,Kandy,OpenStreetMap,node/5063794060,https://www.openstreetmap.org/node/5063794060,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""bathing place"",""tourism"":""attraction""}",candidate_unverified,dup-17869af70589,osm-node-5063794064
osm-node-5063794064,bathing place,7.4006038,80.7713226,tourism=attraction,Kandy,OpenStreetMap,node/5063794064,https://www.openstreetmap.org/node/5063794064,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""bathing place"",""tourism"":""attraction""}",candidate_unverified,dup-17869af70589,osm-node-5063794060
osm-node-5080962668,Thaliya Wetuna Ella,7.4190606,80.7401511,tourism=attraction,Kandy,OpenStreetMap,node/5080962668,https://www.openstreetmap.org/node/5080962668,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Thaliya Wetuna Ella"",""tourism"":""attraction""}",candidate_unverified,,
osm-node-5166965488,Fool’s Bridge,7.0956325,80.5596838,tourism=viewpoint,Kandy,OpenStreetMap,node/5166965488,https://www.openstreetmap.org/node/5166965488,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Fool’s Bridge"",""tourism"":""viewpoint""}",candidate_unverified,,
osm-node-5172559561,World War I Memorial,7.2928685,80.6356115,tourism=attraction|historic=memorial,Kandy,OpenStreetMap,node/5172559561,https://www.openstreetmap.org/node/5172559561,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""historic"":""memorial"",""name"":""World War I Memorial"",""tourism"":""attraction""}",candidate_unverified,,
osm-node-5299675266,Ambuluwaawa,7.1610736,80.5473402,natural=peak,Kandy,OpenStreetMap,node/5299675266,https://www.openstreetmap.org/node/5299675266,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Ambuluwaawa"",""natural"":""peak"",""wikidata"":""Q94690256""}",candidate_unverified,,
osm-node-5797630154,Tea factory,7.2640755,80.5594977,tourism=attraction,Kandy,OpenStreetMap,node/5797630154,https://www.openstreetmap.org/node/5797630154,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Usine de thé  Embilmeegama"",""name:en"":""Tea factory"",""tourism"":""attraction""}",candidate_unverified,,
osm-node-5909688786,Elephant stables,7.2957825,80.6410471,tourism=attraction,Kandy,OpenStreetMap,node/5909688786,https://www.openstreetmap.org/node/5909688786,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Elephant stables"",""tourism"":""attraction""}",candidate_unverified,,
osm-node-6183138166,Halgolla Forest Reserve,7.3061909,80.5216554,leisure=nature_reserve,Kandy,OpenStreetMap,node/6183138166,https://www.openstreetmap.org/node/6183138166,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""leisure"":""nature_reserve"",""name"":""Halgolla Forest Reserve""}",candidate_unverified,,
osm-node-6245949085,Kabaragala Peak Viewpoint,7.0722251,80.5136336,tourism=viewpoint,Kandy,OpenStreetMap,node/6245949085,https://www.openstreetmap.org/node/6245949085,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Kabaragala Peak Viewpoint"",""tourism"":""viewpoint""}",candidate_unverified,,
osm-node-6632682805,Meemure Lakegala Hiking Area,7.4595359,80.842701,tourism=attraction,Kandy,OpenStreetMap,node/6632682805,https://www.openstreetmap.org/node/6632682805,ODbL 1.0,2026-08-19T16:37:02+00:00,"{""name"":""Meemure Lakegala Hiking Area"",""tourism"":""attraction""}",candidate_unverified,,
