candidate_id,canonical_name,latitude,longitude,categories,district,district_query_id,district_query_url,source_name,source_record_id,source_url,source_license,collected_at,raw_source_tags,verification_status,duplicate_cluster_id,duplicate_candidate_ids
osm-node-10218042738-ampara,Neelagirihela Ancient Temple,6.8424214,81.7010616,historic=ruins,Ampara,relation/5351718,https://www.openstreetmap.org/relation/5351718,OpenStreetMap,node/10218042738,https://www.openstreetmap.org/node/10218042738,ODbL 1.0,2026-08-19T17:27:06+00:00,"{""historic"":""ruins"",""name"":""Neelagirihela Ancient Temple"",""query_district_name"":""Ampara"",""query_district_osm_relation_id"":""5351718""}",candidate_unverified,,
osm-node-10811136105-anuradhapura,Isurumuniya Museum,8.3343329,80.3903972,tourism=museum,Anuradhapura,relation/5351719,https://www.openstreetmap.org/relation/5351719,OpenStreetMap,node/10811136105,https://www.openstreetmap.org/node/10811136105,ODbL 1.0,2026-08-19T17:27:06+00:00,"{""name"":""Isurumuniya Museum"",""query_district_name"":""Anuradhapura"",""query_district_osm_relation_id"":""5351719"",""tourism"":""museum""}",candidate_unverified,,
osm-node-10705151378-badulla,Glenanore View Point,6.7756248,80.9327181,tourism=viewpoint,Badulla,relation/5351720,https://www.openstreetmap.org/relation/5351720,OpenStreetMap,node/10705151378,https://www.openstreetmap.org/node/10705151378,ODbL 1.0,2026-08-19T17:27:06+00:00,"{""name"":""Glenanore View Point"",""query_district_name"":""Badulla"",""query_district_osm_relation_id"":""5351720"",""tourism"":""viewpoint""}",candidate_unverified,,
osm-node-11537838643-batticaloa,Thoppigala Heritage Centre,7.8213039,81.3995706,tourism=museum,Batticaloa,relation/5351721,https://www.openstreetmap.org/relation/5351721,OpenStreetMap,node/11537838643,https://www.openstreetmap.org/node/11537838643,ODbL 1.0,2026-08-19T17:27:06+00:00,"{""name"":""Thoppigala Heritage Centre"",""query_district_name"":""Batticaloa"",""query_district_osm_relation_id"":""5351721"",""tourism"":""museum""}",candidate_unverified,,
osm-node-10107520123-colombo,Viharamahadevi Park Aquarium,6.9148992,79.8613636,tourism=aquarium,Colombo,relation/5351774,https://www.openstreetmap.org/relation/5351774,OpenStreetMap,node/10107520123,https://www.openstreetmap.org/node/10107520123,ODbL 1.0,2026-08-19T17:27:06+00:00,"{""name"":""Viharamahadevi Park Aquarium"",""query_district_name"":""Colombo"",""query_district_osm_relation_id"":""5351774"",""tourism"":""aquarium""}",candidate_unverified,,
wikidata-Q11285386-galle,Ambalangoda Mask Museum,6.24125,80.05075,museum,Galle,Q647649,https://www.wikidata.org/wiki/Q647649,Wikidata,Q11285386,https://www.wikidata.org/wiki/Q11285386,CC0 1.0,2026-08-19T17:27:06+00:00,"{""heritage_designation_ids"":[],""heritage_designation_labels"":[],""instance_ids"":[""Q33506""],""instance_labels"":[""museum""],""located_in_district_id"":""Q647649"",""query_district_name"":""Galle""}",candidate_unverified,,
osm-node-1733767869-gampaha,Bothale Walawwa,7.2480909,80.1646273,historic=castle,Gampaha,relation/5351775,https://www.openstreetmap.org/relation/5351775,OpenStreetMap,node/1733767869,https://www.openstreetmap.org/node/1733767869,ODbL 1.0,2026-08-19T17:27:06+00:00,"{""historic"":""castle"",""name"":""Bothale Walawwa"",""query_district_name"":""Gampaha"",""query_district_osm_relation_id"":""5351775""}",candidate_unverified,,
osm-node-12293524549-hambantota,Akasachaithya Ancient Monastery,6.3624298,81.4773567,historic=ruins,Hambantota,relation/5337945,https://www.openstreetmap.org/relation/5337945,OpenStreetMap,node/12293524549,https://www.openstreetmap.org/node/12293524549,ODbL 1.0,2026-08-19T17:27:06+00:00,"{""historic"":""ruins"",""name"":""Akasachaithya Ancient Monastery"",""query_district_name"":""Hambantota"",""query_district_osm_relation_id"":""5337945""}",candidate_unverified,,
osm-node-13505046725-jaffna,Giants Footprint,9.5180455,79.6581539,tourism=attraction,Jaffna,relation/3237345,https://www.openstreetmap.org/relation/3237345,OpenStreetMap,node/13505046725,https://www.openstreetmap.org/node/13505046725,ODbL 1.0,2026-08-19T17:27:06+00:00,"{""name"":""Giants Footprint"",""query_district_name"":""Jaffna"",""query_district_osm_relation_id"":""3237345"",""tourism"":""attraction""}",candidate_unverified,,
wikidata-Q19701957-kalutara,Kande Vihara,6.4491111,80.0002778,Buddhist temple,Kalutara,Q728935,https://www.wikidata.org/wiki/Q728935,Wikidata,Q19701957,https://www.wikidata.org/wiki/Q19701957,CC0 1.0,2026-08-19T17:27:06+00:00,"{""heritage_designation_ids"":[],""heritage_designation_labels"":[],""instance_ids"":[""Q5393308""],""instance_labels"":[""Buddhist temple""],""located_in_district_id"":""Q728935"",""query_district_name"":""Kalutara"",""wikipedia_url"":""https://en.wikipedia.org/wiki/Kande_Vihara""}",candidate_unverified,,
