"audit_id","candidate_id","canonical_name","latitude","longitude","district","categories","source_name","source_url","source_license","sample_reason","source_accessible","name_valid","coordinates_plausible","category_valid","audit_decision","audited_by","audited_at","audit_notes"
"audit-osm-node-10243221107-ampara","osm-node-10243221107-ampara","Bogahalanda Natabun Viharaya","6.8695377","81.7381128","Ampara","historic=ruins","OpenStreetMap","https://www.openstreetmap.org/node/10243221107","ODbL 1.0","deterministic_fill","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:39:10+05:30","Named ruins are consistent with nearby archaeological map features in Lahugala."
"audit-osm-node-11210479158-ampara","osm-node-11210479158-ampara","Kiripokunahela Monastic Ruins","6.6154371","81.7246752","Ampara","historic=ruins","OpenStreetMap","https://www.openstreetmap.org/node/11210479158","ODbL 1.0","deterministic_fill","yes","yes","yes","yes","reject_access_restricted","IT22224866","2026-08-20T14:39:10+05:30","Source evidence states that access is restricted and requires permission; unsuitable for a general tourist itinerary."
"audit-osm-node-11212568706-ampara","osm-node-11212568706-ampara","Lahugala Thiththawel Mandiya Welyaya Archaeological Site","6.8672845","81.7093246","Ampara","historic=ruins","OpenStreetMap","https://www.openstreetmap.org/node/11212568706","ODbL 1.0","deterministic_fill","yes","unconfirmed","yes","plausible","manual_review","IT22224866","2026-08-20T14:39:10+05:30","Structured source record exists, but bounded independent search did not provide enough corroborating identity evidence."
"audit-osm-node-11212455356-ampara","osm-node-11212455356-ampara","Radella Reservoir Archaeological Site","6.8258117","81.7601313","Ampara","historic=ruins","OpenStreetMap","https://www.openstreetmap.org/node/11212455356","ODbL 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:39:10+05:30","Supporting evidence identifies Radella Reservoir as a protected archaeological site in Ampara."
"audit-osm-node-11212568700-ampara","osm-node-11212568700-ampara","Sengamuwa Pansalgoda Archaeological Site","6.8839571","81.7635112","Ampara","historic=ruins","OpenStreetMap","https://www.openstreetmap.org/node/11212568700","ODbL 1.0","deterministic_fill","yes","unconfirmed","yes","plausible","manual_review","IT22224866","2026-08-20T14:39:10+05:30","Structured source record exists, but bounded independent search did not provide enough corroborating identity evidence."
"audit-wikidata-Q28379866-ampara","wikidata-Q28379866-ampara","Samanabedda cave temple","7.3430833","81.6497222","Ampara","Buddhist temple","Wikidata","https://www.wikidata.org/wiki/Q28379866","CC0 1.0","district_source_coverage","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:39:10+05:30","Wikidata identifies an ancient Buddhist cave temple in Ampara with matching coordinates."
"audit-osm-node-3944966668-anuradhapura","osm-node-3944966668-anuradhapura","Cave shelter","8.3671472","80.3897089","Anuradhapura","historic=archaeological_site","OpenStreetMap","https://www.openstreetmap.org/node/3944966668","ODbL 1.0","deterministic_fill","yes","no","yes","plausible","reject_as_independent_poi","IT22224866","2026-08-20T14:39:10+05:30","Generic Cave shelter name is insufficient to identify a defensible independent itinerary destination."
"audit-osm-node-12985856601-anuradhapura","osm-node-12985856601-anuradhapura","Kuda Vilachchiya Wewa and its Ruins","8.4480507","80.1528823","Anuradhapura","historic=ruins","OpenStreetMap","https://www.openstreetmap.org/node/12985856601","ODbL 1.0","deterministic_fill","yes","unconfirmed","yes","plausible","manual_review","IT22224866","2026-08-20T14:39:10+05:30","Structured source record exists, but bounded independent search did not provide enough corroborating identity evidence."
"audit-osm-node-3937270688-anuradhapura","osm-node-3937270688-anuradhapura","Library","8.1180893","80.6636994","Anuradhapura","historic=archaeological_site","OpenStreetMap","https://www.openstreetmap.org/node/3937270688","ODbL 1.0","deterministic_fill","yes","no","yes","plausible","reject_as_independent_poi","IT22224866","2026-08-20T14:39:10+05:30","Generic Library label appears to be a component within an archaeological complex, not a defensible independent itinerary stop."
"audit-osm-node-2831907385-anuradhapura","osm-node-2831907385-anuradhapura","Ramakele Ruins","8.3699654","80.4218753","Anuradhapura","historic=ruins","OpenStreetMap","https://www.openstreetmap.org/node/2831907385","ODbL 1.0","deterministic_fill","yes","yes","yes","yes","pass","IT22224866","2026-08-20T14:39:10+05:30","Source-derived map evidence confirms named ruins, category, coordinates, and Anuradhapura district."
