"candidate_id","canonical_name","latitude","longitude","district","categories","source_name","source_record_id","source_url","source_license","duplicate_cluster_id","duplicate_candidate_ids","initial_review_status","final_decision","corrected_name","standardized_categories","second_source_url","verified_by","verified_at","review_notes"
"osm-node-10218042738-ampara","Neelagirihela Ancient Temple","6.8424214","81.7010616","Ampara","historic=ruins","OpenStreetMap","node/10218042738","https://www.openstreetmap.org/node/10218042738","ODbL 1.0","","","unreviewed","","","","","","",""
"osm-node-10811136105-anuradhapura","Isurumuniya Museum","8.3343329","80.3903972","Anuradhapura","tourism=museum","OpenStreetMap","node/10811136105","https://www.openstreetmap.org/node/10811136105","ODbL 1.0","","","unreviewed","","","","","","",""
"osm-node-10705151378-badulla","Glenanore View Point","6.7756248","80.9327181","Badulla","tourism=viewpoint","OpenStreetMap","node/10705151378","https://www.openstreetmap.org/node/10705151378","ODbL 1.0","","","unreviewed","","","","","","",""
"osm-node-11537838643-batticaloa","Thoppigala Heritage Centre","7.8213039","81.3995706","Batticaloa","tourism=museum","OpenStreetMap","node/11537838643","https://www.openstreetmap.org/node/11537838643","ODbL 1.0","","","unreviewed","","","","","","",""
"osm-node-10107520123-colombo","Viharamahadevi Park Aquarium","6.9148992","79.8613636","Colombo","tourism=aquarium","OpenStreetMap","node/10107520123","https://www.openstreetmap.org/node/10107520123","ODbL 1.0","","","unreviewed","","","","","","",""
"wikidata-Q11285386-galle","Ambalangoda Mask Museum","6.24125","80.05075","Galle","museum","Wikidata","Q11285386","https://www.wikidata.org/wiki/Q11285386","CC0 1.0","","","unreviewed","","","","","","",""
"osm-node-1733767869-gampaha","Bothale Walawwa","7.2480909","80.1646273","Gampaha","historic=castle","OpenStreetMap","node/1733767869","https://www.openstreetmap.org/node/1733767869","ODbL 1.0","","","unreviewed","","","","","","",""
"osm-node-12293524549-hambantota","Akasachaithya Ancient Monastery","6.3624298","81.4773567","Hambantota","historic=ruins","OpenStreetMap","node/12293524549","https://www.openstreetmap.org/node/12293524549","ODbL 1.0","","","unreviewed","","","","","","",""
"osm-node-13505046725-jaffna","Giants Footprint","9.5180455","79.6581539","Jaffna","tourism=attraction","OpenStreetMap","node/13505046725","https://www.openstreetmap.org/node/13505046725","ODbL 1.0","","","unreviewed","","","","","","",""
"wikidata-Q19701957-kalutara","Kande Vihara","6.4491111","80.0002778","Kalutara","Buddhist temple","Wikidata","Q19701957","https://www.wikidata.org/wiki/Q19701957","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q20010653-kandy","National Railway Museum, Kadugannawa","7.25761","80.5209","Kandy","railway museum","Wikidata","Q20010653","https://www.wikidata.org/wiki/Q20010653","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q18708387-kegalle","Menikkadawara fort","7.18799","80.251145","Kegalle","military base","Wikidata","Q18708387","https://www.wikidata.org/wiki/Q18708387","CC0 1.0","","","unreviewed","preliminary_keep","","","","IT22224866","2026-08-20T14:28:00+05:30","Recognizable tourism, heritage, religious, or natural POI. Retain as a candidate pending full source-field verification."
"wikidata-Q12986531-kilinochchi","Pooneryn Fort","9.50337","80.212141","Kilinochchi","fort","Wikidata","Q12986531","https://www.wikidata.org/wiki/Q12986531","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q18708347-kurunegala","Arandora fort","7.4697","80.4669","Kurunegala","military base","Wikidata","Q18708347","https://www.wikidata.org/wiki/Q18708347","CC0 1.0","","","unreviewed","preliminary_keep","","","","IT22224866","2026-08-20T14:28:00+05:30","Recognizable tourism, heritage, religious, or natural POI. Retain as a candidate pending full source-field verification."
"wikidata-Q16314732-mannar","Mannar Fort","8.975864","79.917013","Mannar","fort","Wikidata","Q16314732","https://www.wikidata.org/wiki/Q16314732","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q16308678-matale","Matale Muthumariyamman Temple","7.4773","80.6239","Matale","Hindu temple","Wikidata","Q16308678","https://www.wikidata.org/wiki/Q16308678","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q7504067-matara","Shrine of Our Lady of Matara","5.9430625","80.5519375","Matara","shrine","Wikidata","Q7504067","https://www.wikidata.org/wiki/Q7504067","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q16973445-monaragala","Dematamal viharaya","6.7563889","81.2879167","Monaragala","Buddhist temple","Wikidata","Q16973445","https://www.wikidata.org/wiki/Q16973445","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q1146327-nuwara-eliya","Pidurutalagala","7.0008333","80.7738889","Nuwara Eliya","mountain|ultra-prominent peak","Wikidata","Q1146327","https://www.wikidata.org/wiki/Q1146327","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q110300593-polonnaruwa","Unagalawehera Rajamaha Viharaya, Hingurakgoda","8.0136667","80.98975","Polonnaruwa","religious building","Wikidata","Q110300593","https://www.wikidata.org/wiki/Q110300593","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q137177255-puttalam","Anawilundawa Sanctuary","7.7","79.8166667","Puttalam","Ramsar site|bird sanctuary|wildlife refuge","Wikidata","Q137177255","https://www.wikidata.org/wiki/Q137177255","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q18708394-ratnapura","Ratnapura Portuguese fort","6.690866","80.379547","Ratnapura","military base","Wikidata","Q18708394","https://www.wikidata.org/wiki/Q18708394","CC0 1.0","","","unreviewed","preliminary_keep","","","","IT22224866","2026-08-20T14:28:00+05:30","Recognizable tourism, heritage, religious, or natural POI. Retain as a candidate pending full source-field verification."
"wikidata-Q10666450-trincomalee","Seruvila Mangala Raja Maha Viharaya","8.3708333","81.3193889","Trincomalee","Buddhist temple","Wikidata","Q10666450","https://www.wikidata.org/wiki/Q10666450","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q20706644-vavuniya","Archaeological Museum, Vavuniya","8.7585556","80.5000556","Vavuniya","museum","Wikidata","Q20706644","https://www.wikidata.org/wiki/Q20706644","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q12984075-ampara","Thirukkovil Temple","7.13333","81.85","Ampara","Hindu temple","Wikidata","Q12984075","https://www.wikidata.org/wiki/Q12984075","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q126650014-anuradhapura","Ritigala Ancient Buddhist Monastery","8.11834","80.66461","Anuradhapura","archaeological site","Wikidata","Q126650014","https://www.wikidata.org/wiki/Q126650014","CC0 1.0","dup-dc4b67ac07db","osm-node-3723220027-anuradhapura","duplicate_review","duplicate_source","","","","IT22224866","2026-08-20T14:20:15+05:30","Same itinerary POI as osm-node-3723220027-anuradhapura; retained as supporting source evidence."
"wikidata-Q126478517-badulla","Lipton's seat","6.78068","81.0155","Badulla","scenic viewpoint","Wikidata","Q126478517","https://www.wikidata.org/wiki/Q126478517","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q12987006-batticaloa","Batticaloa Museum","7.7115722","81.702175","Batticaloa","museum","Wikidata","Q12987006","https://www.wikidata.org/wiki/Q12987006","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q1492279-colombo","Galle Face Green","6.9265546","79.8435473","Colombo","park","Wikidata","Q1492279","https://www.wikidata.org/wiki/Q1492279","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q24944930-galle","Sunandarama Vihara","6.2341389","80.0570833","Galle","Buddhist temple","Wikidata","Q24944930","https://www.wikidata.org/wiki/Q24944930","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q16643901-gampaha","Henarathgoda Botanical Garden","7.1","79.9861","Gampaha","botanical garden","Wikidata","Q16643901","https://www.wikidata.org/wiki/Q16643901","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q18060537-hambantota","Mirijjawila Botanical Garden","6.12417","81.1225","Hambantota","botanical garden","Wikidata","Q18060537","https://www.wikidata.org/wiki/Q18060537","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q11310066-jaffna","Jaffna Archaeological Museum","9.6688583","80.0242611","Jaffna","museum","Wikidata","Q11310066","https://www.wikidata.org/wiki/Q11310066","CC0 1.0","dup-46341a68e262","osm-relation-12695936-jaffna|osm-way-569288810-jaffna","duplicate_review","duplicate_source","","","","IT22224866","2026-08-20T14:20:15+05:30","Same itinerary POI as osm-relation-12695936-jaffna; retained as supporting source evidence."
"wikidata-Q60754429-kalutara","Brief Garden","6.45717","80.037626","Kalutara","garden","Wikidata","Q60754429","https://www.wikidata.org/wiki/Q60754429","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q25637940-kandy","Gadaladeniya Vihara","7.2573056","80.5560833","Kandy","Buddhist temple","Wikidata","Q25637940","https://www.wikidata.org/wiki/Q25637940","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q18708396-kegalle","Ruwanwella fort","7.045984","80.254049","Kegalle","military base","Wikidata","Q18708396","https://www.wikidata.org/wiki/Q18708396","CC0 1.0","","","unreviewed","preliminary_keep","","","","IT22224866","2026-08-20T14:28:00+05:30","Recognizable tourism, heritage, religious, or natural POI. Retain as a candidate pending full source-field verification."
"wikidata-Q28055651-kurunegala","Ibbagala Raja Maha Vihara","7.4875278","80.3706667","Kurunegala","Buddhist temple","Wikidata","Q28055651","https://www.wikidata.org/wiki/Q28055651","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q18210407-mannar","St. Sebastian's Cathedral, Mannar","8.97947","79.9072","Mannar","cathedral","Wikidata","Q18210407","https://www.wikidata.org/wiki/Q18210407","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q19700397-matale","Aluvihare Rock Temple","7.4971944","80.6218611","Matale","Buddhist temple","Wikidata","Q19700397","https://www.wikidata.org/wiki/Q19700397","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q27441891-monaragala","Kataragama Peak","6.3866667","81.3358333","Monaragala","mountain","Wikidata","Q27441891","https://www.wikidata.org/wiki/Q27441891","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q123684896-nuwara-eliya","Holy Emmanuel Church, Hanguranketha","7.1722655","80.77878","Nuwara Eliya","church building","Wikidata","Q123684896","https://www.wikidata.org/wiki/Q123684896","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q19711952-polonnaruwa","Dimbulagala","7.86","81.1436111","Polonnaruwa","mountain","Wikidata","Q19711952","https://www.wikidata.org/wiki/Q19711952","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q20680188-puttalam","Paramakanda Raja Maha Vihara","7.9166667","80","Puttalam","Buddhist temple","Wikidata","Q20680188","https://www.wikidata.org/wiki/Q20680188","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q19708548-ratnapura","Gongala","6.3858333","80.6538889","Ratnapura","mountain","Wikidata","Q19708548","https://www.wikidata.org/wiki/Q19708548","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q18345172-trincomalee","Gokanna Temple","8.5767778","81.2416111","Trincomalee","Buddhist temple","Wikidata","Q18345172","https://www.wikidata.org/wiki/Q18345172","CC0 1.0","","","unreviewed","","","","","","",""
"osm-node-10243221098-ampara","Kiriwehera Rajamaha Viharaya","6.8697165","81.7195917","Ampara","historic=ruins|amenity=place_of_worship","OpenStreetMap","node/10243221098","https://www.openstreetmap.org/node/10243221098","ODbL 1.0","","","unreviewed","","","","","","",""
