Name,Address,Rooms,District,AGA Division,PS/MC/UC,Logitiute,Latitude,Category,Grade,Final_Grade,Food_Type,Hotel_ID
THE THEVA RESIDENCY,"11/B5/10-1 06TH LANE, HANTANA,KANDY",10,Kandy,Kandy Divisional Secretariat,Kandy,80.635411,7.276036,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00001
HIGHLAND VILLA,"351, ABIMANGAMA ROAD, KUMBALGAMA, WELIGAMA",10,Matara,Weligama Divisional Secretariat,Weligama Pradeshiya Sabha,80.409972,5.960334,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00002
ULAGALLA WALAWWA RESORT,"THIRAPPANE, ANURADHAPURA",21,Anuradhapura,Anuradhapura East,Anuradhapura,80.545063,8.205927,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00003
GALLE FORT HOTEL,"NO.28, CHURCH STREET, FORT , GALLE",14,Galle,Galle Divisional Secretariat,Galle,80.217563,6.026649,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00004
THE ELEPHANT CORRIDOR,"POTHANA,KIBISSA, SIGIRIYA",21,Matale,,Matale,80.710743,7.943525,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00005
AMANWELLA,"WELLAWATURA, GODELLAWELA, TANGALLE",30,Hambantota,Tangalle Divisional Secretariat,Tangalle Pradeshiya Sabha,80.777376,6.006174,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00006
ADITYA,"719/1, GALLE ROAD, DEVENIGODA,RATHGAMA",12,Galle,Galle Divisional Secretariat,Galle,80.134978,6.094732,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00007
BUCKINGAM PLACE,"REKAWA VILLAGE, NETOLPITIYA, TANGALLE",11,Hambantota,Tangalle Divisional Secretariat,Tangalle Pradeshiya Sabha,80.855462,6.047336,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00008
CLUB VILLA,"NO.138/15, GALLE ROAD, BENTOTA",15,Galle,Benthota Divisional Secretariat,Bentota Pradeshiya Sabha,79.999034,6.414093,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00009
SAMAN VILLAS,"ATURUWELLA, INDURUWA",27,Galle,Galle Divisional Secretariat,Galle,80.004447,6.395518,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00010
MANDARA RESORT,"NO. 416, MODARAWATTA, PELENA, MIRISSA, WEILIGAMA",12,Matara,Matara Divisional Secretariat,Weligama Pradeshiya Sabha,80.453836,5.964016,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00011
VIL UYANA,"RANGIRIGAMA, SIGIRIYA",30,Matale,Matale Divisional Secretariat,Matale,80.720275,7.92971,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00012
TAMARIND HILL HOTEL,"NO.288,GALLE ROAD, DADELLA, GALLE",11,Galle,Galle Divisional Secretariat,Galle,80.19736,6.044845,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00013
PARADISE ROAD TINTAGEL COLOMBO,"NO.65, ROSMEAD PLACE,COLOMBO 07",10,Colombo,Colombo Divisional Secretariat,Colombo,79.869959,6.915033,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00014
BROOK BOUTIQUE,"ALI PALLAMA, MADAHAPOLA ROAD, MELSIRIPURA",10,Kurunegala,Polpithigama Divisional Secretariat,Polpithigama Pradeshiya Sabha,80.512511,7.726939,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00015
THE FORTRESS,KOGGALA,49,Galle,Galle Divisional Secretariat,Galle,80.326424,5.986535,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00016
CASA COLOMBO,"NO.231, GALLE ROAD, COLOMBO 03",11,Colombo,Colombo Divisional Secretariat,Colombo,79.857693,6.888839,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00017
AMANGALLE,"NO. 10 CHURCH ROAD, GALLE",28,Galle,Galle Divisional Secretariat,Galle,80.216995,6.028977,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00018
MAALU MAALU RESORTS & SPA,"TOURISM ZONE, PASSIKUDAH.",40,Batticaloa,Koralai Pattu Divisional Secretariat,Batticaloa,81.561268,7.92839,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00019
THE WALAWWA,"MINUWANGODA ROAD,OPATHA,KOTUGODA.",17,Gampaha,Minuwangoda Divisional Secretariat,Minuwangoda Pradeshiya Sabha,79.927908,7.131981,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00020
BOULDER GARDEN,"KOSWATTA,KALAWANA.",10,Ratnapura,Kalawana Divisional Secretariat,Ratnapura,80.385872,6.514558,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00021
JIMS FARM VILLA,"AHELAPOLA, PELLEPOLA, MATALE",10,Matale,Pallepola Divisional Secretariat,Ahelapola,80.619922,7.621357,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00022
LANGDALE RESORT & SPA,"P.O BOX 01, NANUOYA, RADELLA,NUWARAELIYA",13,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,Kotapola Pradeshiya Sabha,80.718066,6.929208,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00023
THE FORT BAZAAR,"26, CHURCH STREET, GALLE FORT, GALLE",18,Galle,Galle Divisional Secretariat,Galle,80.2154963,6.026844,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00024
"WATER GARDEN,SIGIRIYA","KIBISSA, SIGIRIYA",30,Matale,Dambulla Divisional Secretariat,Dambulla Pradeshiya Sabha,80.7441833,7.994399,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00025
SOORIYA RESORT & SPA,"SOORIYA RESORT & SPA, REKAWA BEACH, TANGALLE",38,Hambantota,Tangalle Divisional Secretariat,Tangalle Pradeshiya Sabha,80.8635393,6.048141,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00026
WILD COAST TENTED LODGE,"PALATUPANA,YALA.",28,Hambantota,Thissamaharama Divisional Secretariat,Thissamaharama,81.4064072,6.2607399,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00027
THE HABITAT,"47/23,PARATHARAKAYA CIRCULATION ROAD, KOSGODA",28,Galle,Balapitiya Divisional Secretariat,balapitiya,80.0258226,6.3405694,Boutique Hotels,,deluxe,Veg & Non-Veg,SL_HOTEL_00028
ROCK VILLA,"NEELISGEWATTA,ALAWATHUGODA,BENTOTA.",7,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.9973733,6.41358,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00029
MIRAGE KINGS COTTAGE,"NO 111, HAVELOCK DRIVE, OFF UPPER LAKE ROAD,NUWARAELIYA.",11,Nuwara Eliya,Nuwara Eliya,Nugegoda Divisional Secretariat,80.7723742,6.9641218,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00030
DUNKELD BUNGALOW,"DUNKEL BUNGALOW, DANKELD ESTATE, DICKOYA",5,Nuwara Eliya,Ambalantota Pradeshiya Sabha,Ambalangoda Divisional Secretariat,80.572933,6.858082,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00031
SUMMERVILLE,"TEA TRAILS (PVT) LTD, SUMMERVILLE BUNGALOW, SUMMERVILLE, DICKOYA, HATTON.",5,Nuwara Eliya,Ambagamuwa Pradeshiya Sabha,Ambagamuwa Divisional Secretariat,80.580983,6.867271,Boutique Villas,,deluxe,Veg & Non-Veg,SL_HOTEL_00032
